"","plot","PD","SR","pd_per_spp"
"76","SBK_2014_chr_16",1.472,5,0.2944
"77","SBK_2014_con_17",1.497,5,0.2994
"78","SBK_2014_con_18",1.753,7,0.250428571428571
"79","SBK_2014_chr_19",1.413,4,0.35325
"80","SBK_2014_del_20",2.103,10,0.2103
"81","SBK_2014_con_21",2.279,10,0.2279
"82","SBK_2014_chr_22",1.492,6,0.248666666666667
"83","SBK_2014_con_23",1.221,5,0.2442
"84","SBK_2014_chr_24",1.184,3,0.394666666666667
"85","SBK_2014_del_25",2.472,11,0.224727272727273
"86","SBK_2014_chr_26",1.295,4,0.32375
"87","SBK_2014_con_27",1.864,8,0.233
"88","SBK_2014_chr_28",1.371,7,0.195857142857143
"89","SBK_2014_del_29",2.302,10,0.2302
"90","SBK_2014_del_30",2.047,9,0.227444444444444
"91","SBK_2015_con_1",1.141,6,0.190166666666667
"92","SBK_2015_chr_2",1.791,7,0.255857142857143
"93","SBK_2015_chr_3",1.434,4,0.3585
"94","SBK_2015_con_4",1.324,4,0.331
"95","SBK_2015_del_5",1.892,10,0.1892
"96","SBK_2015_chr_6",1.762,6,0.293666666666667
"97","SBK_2015_con_7",1.649,6,0.274833333333333
"98","SBK_2015_del_8",2.097,10,0.2097
"99","SBK_2015_del_9",1.649,6,0.274833333333333
"100","SBK_2015_chr_10",2.138,8,0.26725
"101","SBK_2015_con_11",1.775,7,0.253571428571429
"102","SBK_2015_del_12",2.161,11,0.196454545454545
"103","SBK_2015_del_13",1.989,9,0.221
"104","SBK_2015_del_14",1.86,8,0.2325
"105","SBK_2015_con_15",1.625,9,0.180555555555556
"106","SBK_2015_chr_16",1.609,7,0.229857142857143
"107","SBK_2015_con_17",1.534,6,0.255666666666667
"108","SBK_2015_con_18",1.67,7,0.238571428571429
"109","SBK_2015_chr_19",1.578,5,0.3156
"110","SBK_2015_del_20",1.675,7,0.239285714285714
"111","SBK_2015_con_21",2.061,9,0.229
"112","SBK_2015_chr_22",1.471,4,0.36775
"113","SBK_2015_con_23",1.737,9,0.193
"114","SBK_2015_chr_24",1.612,7,0.230285714285714
"115","SBK_2015_del_25",2.381,11,0.216454545454545
"116","SBK_2015_chr_26",1.816,7,0.259428571428571
"117","SBK_2015_con_27",1.837,9,0.204111111111111
"118","SBK_2015_chr_28",1.931,7,0.275857142857143
"119","SBK_2015_del_29",1.773,6,0.2955
"120","SBK_2015_del_30",1.96,8,0.245
"121","SBK_2016_con_1",1.699,9,0.188777777777778
"122","SBK_2016_chr_2",2.539,13,0.195307692307692
"123","SBK_2016_chr_3",1.882,8,0.23525
"124","SBK_2016_con_4",1.985,9,0.220555555555556
"125","SBK_2016_del_5",2.293,12,0.191083333333333
"126","SBK_2016_chr_6",2.135,11,0.194090909090909
"127","SBK_2016_con_7",2.39,12,0.199166666666667
"128","SBK_2016_del_8",2.316,12,0.193
"129","SBK_2016_del_9",1.888,8,0.236
"130","SBK_2016_chr_10",2.17,10,0.217
"131","SBK_2016_con_11",1.879,8,0.234875
"132","SBK_2016_del_12",1.991,10,0.1991
"133","SBK_2016_del_13",1.927,8,0.240875
"134","SBK_2016_del_14",1.916,9,0.212888888888889
"135","SBK_2016_con_15",2.101,10,0.2101
"136","SBK_2016_chr_16",2.279,12,0.189916666666667
"137","SBK_2016_con_17",1.635,7,0.233571428571429
"138","SBK_2016_con_18",2.07,10,0.207
"139","SBK_2016_chr_19",2.074,9,0.230444444444444
"140","SBK_2016_del_20",2.114,12,0.176166666666667
"141","SBK_2016_con_21",2.118,9,0.235333333333333
"142","SBK_2016_chr_22",2.086,10,0.2086
"143","SBK_2016_con_23",1.609,8,0.201125
"144","SBK_2016_chr_24",2.275,10,0.2275
"145","SBK_2016_del_25",2.156,11,0.196
"146","SBK_2016_chr_26",2.228,9,0.247555555555556
"147","SBK_2016_con_27",2.497,12,0.208083333333333
"148","SBK_2016_chr_28",1.862,10,0.1862
"149","SBK_2016_del_29",1.873,8,0.234125
"150","SBK_2016_del_30",2.327,12,0.193916666666667
