"","plot","PD","SR","pd_per_spp"
"89","SGS_2015_chr_29",2.048,11,0.186181818181818
"90","SGS_2015_con_30",2.778,16,0.173625
"91","SGS_2016_con_1",2.117,12,0.176416666666667
"92","SGS_2016_chr_2",2.033,10,0.2033
"93","SGS_2016_int_3",1.847,9,0.205222222222222
"94","SGS_2016_con_4",2.174,11,0.197636363636364
"95","SGS_2016_int_5",2.072,9,0.230222222222222
"96","SGS_2016_chr_6",1.757,8,0.219625
"97","SGS_2016_chr_7",2.026,10,0.2026
"98","SGS_2016_con_8",2.231,14,0.159357142857143
"99","SGS_2016_int_9",2.181,13,0.167769230769231
"100","SGS_2016_con_10",2.033,10,0.2033
"101","SGS_2016_int_11",1.822,11,0.165636363636364
"102","SGS_2016_chr_12",2.158,11,0.196181818181818
"103","SGS_2016_con_13",1.873,10,0.1873
"104","SGS_2016_chr_14",2.056,11,0.186909090909091
"105","SGS_2016_int_15",2.183,12,0.181916666666667
"106","SGS_2016_con_16",1.872,9,0.208
"107","SGS_2016_int_17",1.779,7,0.254142857142857
"108","SGS_2016_chr_18",1.804,8,0.2255
"109","SGS_2016_int_19",2.179,12,0.181583333333333
"110","SGS_2016_con_20",2.033,10,0.2033
"111","SGS_2016_chr_21",2.301,12,0.19175
"112","SGS_2016_int_22",2.402,13,0.184769230769231
"113","SGS_2016_con_23",2.127,11,0.193363636363636
"114","SGS_2016_chr_24",2.045,11,0.185909090909091
"115","SGS_2016_chr_25",2.115,10,0.2115
"116","SGS_2016_int_26",2.281,12,0.190083333333333
"117","SGS_2016_con_27",2.081,12,0.173416666666667
"118","SGS_2016_int_28",1.804,8,0.2255
"119","SGS_2016_chr_29",2.025,10,0.2025
"120","SGS_2016_con_30",1.99,9,0.221111111111111
"121","SGS_2017_con_1",2.737,15,0.182466666666667
"122","SGS_2017_chr_2",2.404,12,0.200333333333333
"123","SGS_2017_int_3",2.226,10,0.2226
"124","SGS_2017_con_4",2.504,12,0.208666666666667
"125","SGS_2017_int_5",2.443,11,0.222090909090909
"126","SGS_2017_chr_6",1.963,9,0.218111111111111
"127","SGS_2017_chr_7",2.461,12,0.205083333333333
"128","SGS_2017_con_8",2.373,14,0.1695
"129","SGS_2017_int_9",2.442,14,0.174428571428571
"130","SGS_2017_con_10",2.566,14,0.183285714285714
"131","SGS_2017_int_11",2.32,13,0.178461538461538
"132","SGS_2017_chr_12",2.593,13,0.199461538461538
"133","SGS_2017_con_13",2.077,12,0.173083333333333
"134","SGS_2017_chr_14",2.3,13,0.176923076923077
"135","SGS_2017_int_15",2.714,14,0.193857142857143
"136","SGS_2017_con_16",2.273,11,0.206636363636364
"137","SGS_2017_int_17",2.351,10,0.2351
"138","SGS_2017_chr_18",2.413,13,0.185615384615385
"139","SGS_2017_int_19",2.7,15,0.18
"140","SGS_2017_con_20",2.231,10,0.2231
"141","SGS_2017_chr_21",2.428,12,0.202333333333333
"142","SGS_2017_int_22",2.722,13,0.209384615384615
"143","SGS_2017_con_23",2.682,13,0.206307692307692
"144","SGS_2017_chr_24",2.476,14,0.176857142857143
"145","SGS_2017_chr_25",2.636,13,0.202769230769231
"146","SGS_2017_int_26",2.873,15,0.191533333333333
"147","SGS_2017_con_27",2.288,12,0.190666666666667
"148","SGS_2017_int_28",2.054,10,0.2054
"149","SGS_2017_chr_29",2.396,12,0.199666666666667
"150","SGS_2017_con_30",2.422,10,0.2422
