"","plot","PD","SR","pd_per_spp"
"90","HYS_2015_int_30",1.573,12,0.131083333333333
"91","HYS_2016_chr_1",2.428,19,0.127789473684211
"92","HYS_2016_int_2",2.089,16,0.1305625
"93","HYS_2016_con_3",1.613,12,0.134416666666667
"94","HYS_2016_int_4",2.218,19,0.116736842105263
"95","HYS_2016_chr_5",1.852,12,0.154333333333333
"96","HYS_2016_con_6",1.829,14,0.130642857142857
"97","HYS_2016_con_7",1.718,15,0.114533333333333
"98","HYS_2016_chr_8",2.086,17,0.122705882352941
"99","HYS_2016_int_9",1.849,16,0.1155625
"100","HYS_2016_con_10",1.772,12,0.147666666666667
"101","HYS_2016_int_11",1.894,16,0.118375
"102","HYS_2016_chr_12",1.986,17,0.116823529411765
"103","HYS_2016_chr_13",1.99,19,0.104736842105263
"104","HYS_2016_int_14",1.791,17,0.105352941176471
"105","HYS_2016_con_15",1.73,12,0.144166666666667
"106","HYS_2016_int_16",2.133,18,0.1185
"107","HYS_2016_con_17",1.843,15,0.122866666666667
"108","HYS_2016_chr_18",1.957,16,0.1223125
"109","HYS_2016_int_19",1.957,18,0.108722222222222
"110","HYS_2016_con_20",2.119,18,0.117722222222222
"111","HYS_2016_chr_21",2.222,19,0.116947368421053
"112","HYS_2016_con_22",1.727,12,0.143916666666667
"113","HYS_2016_chr_23",1.815,15,0.121
"114","HYS_2016_int_24",1.983,15,0.1322
"115","HYS_2016_int_25",1.874,17,0.110235294117647
"116","HYS_2016_con_26",1.808,14,0.129142857142857
"117","HYS_2016_chr_27",1.825,15,0.121666666666667
"118","HYS_2016_chr_28",2.107,18,0.117055555555556
"119","HYS_2016_con_29",1.973,17,0.116058823529412
"120","HYS_2016_int_30",1.875,17,0.110294117647059
"121","HYS_2017_chr_1",1.953,12,0.16275
"122","HYS_2017_int_2",1.894,15,0.126266666666667
"123","HYS_2017_con_3",1.458,8,0.18225
"124","HYS_2017_int_4",2.037,16,0.1273125
"125","HYS_2017_chr_5",1.504,11,0.136727272727273
"126","HYS_2017_con_6",1.784,12,0.148666666666667
"127","HYS_2017_con_7",1.921,16,0.1200625
"128","HYS_2017_chr_8",1.856,15,0.123733333333333
"129","HYS_2017_int_9",1.789,14,0.127785714285714
"130","HYS_2017_con_10",1.547,9,0.171888888888889
"131","HYS_2017_int_11",1.885,16,0.1178125
"132","HYS_2017_chr_12",1.907,14,0.136214285714286
"133","HYS_2017_chr_13",1.904,15,0.126933333333333
"134","HYS_2017_int_14",1.752,13,0.134769230769231
"135","HYS_2017_con_15",1.73,12,0.144166666666667
"136","HYS_2017_int_16",2.132,17,0.125411764705882
"137","HYS_2017_con_17",1.834,14,0.131
"138","HYS_2017_chr_18",1.882,14,0.134428571428571
"139","HYS_2017_int_19",1.85,14,0.132142857142857
"140","HYS_2017_con_20",1.854,15,0.1236
"141","HYS_2017_chr_21",2.254,19,0.118631578947368
"142","HYS_2017_con_22",1.816,12,0.151333333333333
"143","HYS_2017_chr_23",1.541,12,0.128416666666667
"144","HYS_2017_int_24",2.03,14,0.145
"145","HYS_2017_int_25",1.967,14,0.1405
"146","HYS_2017_con_26",2.002,17,0.117764705882353
"147","HYS_2017_chr_27",1.675,11,0.152272727272727
"148","HYS_2017_chr_28",1.842,14,0.131571428571429
"149","HYS_2017_con_29",1.784,13,0.137230769230769
"150","HYS_2017_int_30",1.899,17,0.111705882352941
